time_days,pressure_bar,mass_kg,cumulative_source_kg,cumulative_produced_kg,cumulative_leaked_kg,cumulative_consumed_kg,production_sm3_day,source_sm3_day,leakage_sm3_day,consumption_kg_day,stage_index,balance_residual_kg
15705.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
16071.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
16436.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
16801.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
17166.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
17532.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
17897.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
18262.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
18627.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
18993.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
19358.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
19723.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
20088.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
20454.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
20819.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
21184.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
21549.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
21915.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
22280.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
22645.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
23010.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
23376.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
23741.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
24106.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
24471.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
24837.0,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
25202.25,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
25567.5,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
25932.75,160.00000000000009,17240828.584673204,0.0,31523844.62107113,0.0,0.0,2.523054215630787e-10,0.0,0.0,0.0,0,-7.450580596923828e-09
